cgpa,lc_easy,lc_medium,lc_hard,contest_rating,projects,internships,communication,hire_ready_score
7.22,395,49,11,2122,0,0,3,34.77
8.89,65,77,64,2008,4,4,5,71.43
7.76,104,300,79,1897,0,0,5,54.08
7.82,411,61,1,2365,2,4,3,56.8
8.48,377,133,8,31,2,3,2,48.19
8.73,299,184,57,2232,5,3,4,77.47
8.45,462,255,34,2166,1,2,1,60.53
7.58,90,85,41,1592,3,2,9,55.06
9.98,351,250,41,2405,1,1,3,61.13
8.8,425,215,54,795,3,0,7,58.8
9.85,46,17,33,1565,4,0,8,49.56
8.91,302,109,2,1224,0,1,10,41.03
6.28,128,149,18,1078,5,2,8,54.76
7.22,267,292,35,2081,1,2,9,60.28
7.13,332,14,24,1467,4,2,3,51.5
9.7,91,117,64,529,3,4,7,67.15
7.3,500,290,3,1958,4,3,9,70.34
6.64,136,2,15,1573,5,4,4,56.64
9.65,21,154,40,1551,2,4,1,61.0
9.96,398,21,47,936,0,0,9,44.18
8.02,210,65,20,1641,3,3,6,55.56
8.48,351,59,49,2119,1,2,6,56.1
8.0,159,7,10,434,2,1,9,36.69
7.29,477,137,71,2079,5,1,1,68.57
6.06,281,144,76,1935,5,1,7,66.62
8.43,63,178,25,1061,0,0,8,37.92
8.16,462,142,14,758,1,4,4,55.05
9.69,337,15,1,1933,4,4,1,60.79
9.91,208,33,1,496,4,2,4,48.14
7.75,140,123,19,655,5,2,8,55.34
6.44,424,158,32,1248,5,3,9,67.73
9.78,282,136,9,1318,1,0,3,40.97
9.88,121,245,41,1414,3,1,3,59.09
6.37,125,234,12,2356,5,3,4,64.02
9.91,164,196,7,1098,5,4,1,66.49
6.72,67,138,73,235,1,3,3,50.41
10.0,433,113,66,2495,0,0,5,56.3
9.93,294,188,40,1569,1,3,10,65.11
8.86,117,165,8,259,1,3,4,44.98
7.83,136,229,47,1303,5,2,7,67.02
9.81,416,114,50,2029,2,3,3,67.08
8.06,283,113,19,2306,4,2,9,61.95
8.44,486,133,63,615,4,3,10,72.5
7.72,230,31,48,1739,4,0,6,51.32
8.27,62,130,28,1079,0,0,6,35.3
6.26,362,122,53,1921,4,1,9,61.06
7.27,6,139,28,236,5,1,8,49.14
7.24,95,75,36,565,3,3,8,52.26
6.42,253,275,44,625,2,2,10,57.14
9.17,303,59,12,401,5,3,6,58.65
7.7,202,20,36,497,5,2,2,51.67
7.81,235,24,33,662,1,4,4,49.18
9.94,234,185,53,1515,3,0,8,60.02
6.51,81,81,20,1425,4,0,1,39.51
6.61,414,99,16,214,1,3,3,43.41
8.84,388,2,31,453,2,3,10,53.84
6.23,206,158,40,1876,0,0,3,38.58
9.06,259,90,28,1511,1,1,2,44.91
7.31,444,262,45,2071,4,3,1,72.68
7.85,382,283,26,1641,2,3,5,64.32
6.85,41,64,35,1081,2,0,8,37.8
7.69,65,127,31,749,2,0,5,38.81
8.55,175,118,79,2232,5,0,2,64.36
7.7,433,5,1,2313,4,3,7,58.72
8.08,58,83,56,807,2,3,8,55.39
8.49,171,291,45,463,2,2,5,57.65
6.35,311,300,17,895,2,0,5,44.94
8.6,56,252,17,1522,5,0,7,55.95
7.42,217,0,30,348,1,0,7,31.83
8.43,5,233,42,1504,1,1,7,50.4
6.6,200,215,68,553,4,2,8,63.46
8.99,307,116,12,757,0,2,7,43.81
6.76,361,146,35,1692,5,2,6,63.97
6.84,243,150,2,1694,1,3,6,47.97
6.91,143,142,64,1562,5,2,4,64.54
7.32,45,177,71,1615,5,2,9,69.21
8.57,302,206,12,2375,3,0,9,55.46
8.22,146,265,40,1290,0,4,10,62.04
8.48,382,16,44,2460,1,0,10,49.8
6.64,387,177,79,1691,4,2,4,69.63
6.49,304,75,58,1172,0,3,10,52.66
9.39,273,205,39,1443,4,3,10,72.68
7.56,253,147,47,1410,2,0,10,50.5
9.05,104,71,2,325,5,3,3,52.03
7.73,442,74,66,658,0,4,3,57.0
8.91,169,46,11,1558,5,3,6,59.91
8.31,458,39,28,1388,0,4,2,52.31
9.44,228,74,30,1845,4,4,4,67.49
9.62,102,146,25,2045,5,0,4,56.58
8.91,72,82,43,111,4,4,8,61.76
6.01,391,75,60,1845,5,1,2,59.66
7.49,83,144,17,944,3,4,3,54.53
6.22,27,101,20,1745,0,2,3,36.64
9.97,474,210,78,2324,2,2,6,76.34
9.5,404,267,79,2280,3,3,7,83.83
9.46,104,178,66,643,2,1,4,54.4
9.6,75,177,0,233,1,3,1,43.16
6.61,242,134,8,1746,3,0,6,42.94
8.7,219,242,9,1024,1,3,2,51.62
7.16,84,297,32,2302,5,1,4,63.5
6.38,238,131,26,1084,0,2,7,42.02
10.0,127,188,20,487,5,1,7,57.5
7.32,48,291,7,39,5,3,3,56.27
8.66,269,144,3,1307,2,4,2,55.17
7.67,255,40,14,2495,4,3,3,58.38
6.66,60,58,50,900,2,1,6,42.33
6.13,21,295,10,205,4,3,2,51.34
7.22,357,34,78,1561,4,3,6,68.63
9.05,488,222,48,1345,4,3,9,76.92
9.47,16,183,13,705,4,0,8,47.77
8.15,340,115,34,1110,5,1,4,57.91
8.59,175,158,4,1075,4,1,5,49.6
6.27,457,269,9,1311,2,3,7,58.29
9.37,202,75,24,1882,2,1,5,49.25
9.75,189,67,47,981,2,3,8,59.19
6.64,118,186,43,1689,2,0,7,46.93
9.42,266,43,31,2356,4,1,6,58.8
9.05,164,38,4,797,1,4,1,44.68
8.34,351,228,13,1082,3,1,5,53.43
